,Cities,Lat,Temp,Humidity,Cloud,Wind
0,saint george,39.45,77,69,20,4.7
1,point pedro,9.82,82.24,98,24,22.17
2,punta arenas,-53.16,35.6,80,40,28.86
3,waverley,-33.9,50.81,50,0,16.11
4,meyungs,69.44,51.8,93,90,4.7
5,tuktoyaktuk,14.4,85.12,19,88,4.83
6,mys shmidta,59.7,77,69,0,11.18
7,palabuhanratu,60.75,61.45,43,24,2.48
8,marzuq,-0.39,64.4,55,75,18.34
9,nikolskoye,-30.17,60.46,79,0,19.22
10,haines junction,-0.9,77,69,75,14.99
11,san cristobal,65.28,64.4,77,75,5.82
12,cidreira,42.65,75.88,44,75,5.82
13,puerto baquerizo moreno,-34.42,42.82,95,0,2.77
14,norman wells,68.05,70.18,57,0,4.9
15,albany,22.08,80.6,78,75,14.99
16,hermanus,67.46,47.59,100,92,5.06
17,taolanaro,-9.8,80.26,98,76,23.06
18,ostrovnoy,-27.7,54.25,37,8,5.01
19,kapaa,-54.81,37.4,55,40,10.29
20,srednekolymsk,-5.56,78.46,100,24,9.08
21,atuona,72.79,42.46,85,92,17.13
22,kathu,40.8,60.26,72,75,5.82
23,ushuaia,-33.64,58.66,100,20,16.8
24,kimbe,35.74,77.02,83,1,5.82
25,upernavik,-46.28,31.39,65,0,5.35
26,eureka,66.82,53.62,88,92,12.84
27,busselton,-46.19,25.9,81,0,2.89
28,nishihara,42.83,73.4,40,1,8.05
29,kaitangata,25.29,95,67,0,11.41
30,kharp,64.17,53.6,54,20,8.05
31,mataura,-26.98,63.25,67,0,3.89
32,lander,-25.24,39.2,64,0,4.7
33,doha,38.52,73.4,83,75,18.34
34,nuuk,-34.72,57.22,88,92,17.13
35,san patricio,-22.97,80.98,65,40,13.87
36,yulara,4.87,77.47,96,88,15.68
37,ribeira grande,-43.03,48.2,100,20,25.28
38,port lincoln,-23.58,53.89,79,0,8.52
39,arraial do cabo,-20.63,80.8,34,0,8.59
40,axim,-38.31,51.91,100,88,14.07
41,margate,-25.41,62.17,71,48,2.71
42,bluff,59.58,57.2,100,90,6.71
43,ponta do sol,70.62,34.81,83,0,12.17
44,barrow,32.3,82.4,74,40,10.29
45,taltal,19.71,69.12,83,90,5.82
46,ola,-33.69,55.78,96,88,19.66
47,chokurdakh,-23.12,73.24,100,64,13.67
48,hamilton,29.03,90.61,20,0,6.62
49,hilo,15.34,71.17,98,100,4.23
50,chuy,-33.02,60.8,82,0,16.11
51,rikitea,-33.93,48.2,81,20,4.7
52,jalu,4.91,79.68,54,75,9.17
53,vaini,46.12,68.65,72,56,6.73
54,east london,6.37,82.69,100,44,5.5
55,cape town,6.8,89.6,62,75,4.7
56,rosarito,50.23,79.29,56,0,3.36
57,saint-georges,27.93,67.21,100,88,0.98
58,pundaguitan,0.51,81.52,76,80,2.82
59,georgetown,77.48,37.96,94,92,13.89
60,carlsbad,19.28,87.8,66,20,11.41
61,warqla,5.75,74.86,100,44,3
62,tezu,-26.25,60.8,38,0,5.73
63,puerto asis,53.85,74.59,63,24,12.95
64,qaanaaq,9.56,78.1,39,88,9.42
65,bodden town,6.6,78.8,100,90,4.7
66,baliton,45.36,75.18,53,40,13.87
67,alberton,44.67,71.76,60,1,3.36
68,marang,2.74,78.8,88,75,6.93
69,svobodnyy,39.31,81.7,51,1,4.7
70,hargeysa,-46.43,48.31,53,8,24.96
71,sulop,-5.81,82.4,65,40,16.11
72,saint-philippe,-42.48,46.78,79,56,5.06
73,belle fourche,-39.94,43.81,74,68,11.05
74,kuala pilah,49.22,78.57,54,0,12.75
75,sentyabrskiy,-31.39,60.8,67,75,14.99
76,saleaula,55.74,69.8,77,90,9.17
77,port elizabeth,64.42,48.58,86,76,15.41
78,mar del plata,59.79,68,56,0,14.99
79,natal,70.47,51.8,53,40,19.46
80,castro,-16.48,76.66,100,20,11.05
81,waipawa,55.36,67.37,64,0,6.71
82,bytca,8,69.01,99,56,2.21
83,stornoway,57.88,66.58,48,0,7.81
84,cangucu,49.98,37.87,84,0,1.77
85,thompson,-19.55,74.77,97,64,14.12
86,provideniya,29.8,86.2,83,90,6.93
87,gravdal,42.84,79.54,37,64,7.52
88,akyab,78.22,44.6,87,75,12.75
89,clyde river,23.99,75.2,47,20,5.82
90,grand river south east,14.9,78.46,94,0,5.35
91,faanui,36.07,90.18,33,1,5.82
92,pestovo,-17.73,80.6,57,20,3.36
93,marawi,21.46,82.96,96,36,19.37
94,makaryev,5.77,82.33,100,88,15.9
95,ulaangom,-33.59,63.43,88,0,15.64
96,andenes,60.71,51.28,94,24,3.56
97,isangel,37.17,75.4,88,88,8.3
98,thibodaux,39.95,75.2,73,90,10.29
99,hami,27.72,75.13,81,0,3.49
100,longyearbyen,-35.17,53.98,100,92,8.81
101,constitucion,61.21,72.46,38,20,3.36
102,sao filipe,-28.77,65.05,75,8,7.25
103,porterville,66.83,53.71,86,92,15.19
104,tautira,16.18,81.64,54,40,11.41
105,cockburn town,50.67,78.33,56,0,3.36
106,manadhoo,46.8,73.51,88,0,11.41
107,marcona,12.18,78.64,100,48,7.02
108,port alfred,62.91,66.72,56,40,16.11
109,lensk,21.39,79.68,74,1,10.29
110,sitka,54.63,57.13,100,36,14.97
111,kodiak,-34.53,50,66,0,3.36
112,tongren,48.35,75.2,57,0,4.47
113,ahipara,-23.78,75.85,83,36,1.54
114,balestrand,38.44,77.11,27,0,7.81
115,richards bay,22.63,72.79,68,0,2.71
116,yar-sale,-22.46,68,5,0,23.04
117,sal rei,-0.6,84.31,98,0,12.84
118,warmbad,-8.9,77.38,85,56,9.82
119,valea ursului,34.64,85.84,16,0,9.53
120,san policarpo,-1.82,82.87,79,80,12.55
121,bud,2.67,84.22,98,24,13.67
122,kailua,60.14,44.44,95,8,13.96
123,killybegs,68.75,39.58,90,32,3.22
124,bredasdorp,37.57,79.54,61,0,10.29
125,zhovti vody,-42.88,48.2,94,20,25.28
126,ilhabela,0.12,79.9,100,36,8.59
127,baherden,30.16,88.61,55,75,10.29
128,huejuquilla el alto,51.37,77.83,72,32,8.14
129,calama,13.22,87.8,62,40,26.4
130,illoqqortoormiut,-14.47,69.8,60,48,9.17
131,hithadhoo,48.41,78.8,54,20,12.75
132,sao jose da coroa grande,66.5,78.8,47,0,3.36
133,belushya guba,-30.97,44.71,28,12,6.91
134,qom,4.42,78.73,100,56,15.35
135,cururupu,-10.84,73.33,71,48,8.93
136,kudahuvadhoo,-34.85,50,87,75,10.29
137,nanortalik,33.3,89.6,29,0,3.36
138,cherskiy,60.91,59,47,8,6.93
139,seoul,-20.41,69.8,64,75,14.99
140,hobart,-21.64,80.6,54,0,17.22
141,bontang,54.08,68.36,93,40,16.11
142,panama city,33.93,76.48,97,76,10.09
143,barentsburg,62.58,67.48,77,0,9.17
144,zaozerne,41.89,84.56,42,0,5.82
145,bathsheba,5.28,80.6,94,75,5.28
146,katherine,-42.78,48.2,94,20,25.28
147,thunder bay,13.66,70.18,100,92,2.59
148,rovaniemi,-0.95,75.67,100,76,4.05
149,carnarvon,38.18,87.94,74,0,5.82
150,tabou,65.61,46.4,75,92,5.82
151,namikupa,-33.73,53.6,86,20,6.93
152,palmer,-9.17,93.85,42,20,0.76
153,baghdad,33.19,84.58,62,75,6.93
154,narsaq,8.96,53.6,87,75,5.82
155,mahebourg,43.35,84.04,19,0,8.81
156,sao joao da barra,31.86,96.64,17,0,11.43
157,bridlington,-27.8,69.01,37,0,4.72
158,katsuura,16.78,75.58,99,80,5.57
159,roald,49.93,53.98,88,0,3
160,mananara,-4.94,77.74,100,64,4.56
161,roma,63.05,47.68,96,92,6.4
162,victoria,69.7,46.51,88,0,4
163,new norfolk,40.36,78.28,39,0,5.12
164,siddapur,19.93,85.39,79,64,3.71
165,nizhneyansk,6.33,72.16,74,8,7.52
166,luwuk,65.58,50.74,84,80,14.29
167,fortuna,-0.74,73.4,73,75,19.46
168,tasiilaq,45.6,76.19,60,0,13.87
169,buin,39.23,73.69,68,44,3.78
170,aripuana,70.86,70.93,41,0,11.41
171,avera,-5.2,79.54,80,64,15.41
172,lebu,6.75,78.82,100,68,10.76
173,zhanaozen,66.15,48.2,93,90,2.24
174,nalut,-8.68,73.42,67,92,1.99
175,santiago del estero,48.64,82.4,42,75,3.36
176,pathein,48.82,71.08,42,5,4.7
177,dauriya,-21.21,64.4,82,75,2.24
178,katobu,66.94,48.04,84,44,2.04
179,beringovskiy,63.29,70.79,94,75,8.05
180,pevek,-32.55,57.2,100,75,9.17
181,belmonte,57.41,59.29,91,92,21.61
182,tomatlan,60.79,62.6,67,75,13.87
183,dir,6.62,80.89,100,76,15.97
184,lavrentiya,-10.46,80.44,100,76,5.12
185,puerto ayora,-20.07,57.49,90,48,2.89
186,souillac,22.63,87.91,78,20,10.76
187,shitanjing,-35.71,52.99,73,0,14.12
188,berlevag,-1.71,84.94,72,64,6.58
189,touros,50.23,66.2,88,1,8.05
190,robertsport,-11.1,68.11,69,20,5.01
191,pangnirtung,0.39,77,78,40,6.93
192,mahenge,40.27,78.8,65,75,9.17
193,wanning,-46.13,36.79,100,0,4.79
194,lake cowichan,-29.03,51.8,34,0,3.36
195,avarua,46.72,77.59,38,40,3.36
196,sisimiut,3.07,84.4,100,88,8.08
197,ornskoldsvik,-18.65,73.4,83,75,4.7
198,camana,59.7,57.2,100,90,6.71
199,mandurah,9.54,82.33,100,80,14.34
200,portree,64.73,51.8,87,40,13.42
201,bethel,-33.21,39.49,85,20,6.91
202,satitoa,40.34,81.61,78,0,11.41
203,kulhudhuffushi,55.31,62.6,93,75,6.71
204,kirakira,73.51,39.67,100,88,19.44
205,charters towers,54.77,80.6,42,75,14.99
206,kracheh,66,61.81,48,0,7.52
207,mata,37.14,80.6,36,0,17.22
208,batemans bay,13.93,88.09,42,0,7.63
209,jutai,27.97,84.13,55,20,7.52
210,havre-saint-pierre,-8.15,80.17,94,68,5.79
211,hualmay,36.22,81.19,64,40,4.7
212,libreville,13.05,88.9,56,0,8.03
213,beatrice,7.71,82.96,92,80,9.93
214,tuatapere,71.64,40.84,90,0,2.33
215,ritchie,-34,57.94,91,20,12.62
216,cloquet,41.72,66.96,77,75,5.82
217,butaritari,11.38,77.74,100,20,6.51
218,neiafu,71.97,45.61,100,92,12.28
219,arman,-6.22,78.64,98,80,5.01
220,ko samui,-2.57,81.88,100,76,10.76
221,anadyr,50.63,78.37,70,8,5.28
222,jamestown,27.67,96.8,22,0,6.93
223,veglie,17.01,78.8,94,75,4.7
224,kolyvan,57.09,55.4,87,90,6.71
225,dikson,-16.52,76.48,100,64,13.85
226,flin flon,-38.66,47.59,88,92,22.12
227,usinsk,24.09,98.6,18,0,8.05
228,lagoa,69.22,46.4,49,20,3.36
229,edd,22.93,71.17,99,92,2.37
230,guerrero negro,45.18,81.59,45,0,6.93
231,buala,30.58,86.02,82,0,4.12
232,boone,65.53,50.29,57,44,5.35
233,dosso,45.9,77.11,90,48,5.5
234,batticaloa,27.52,93.2,52,20,3.36
235,tiksi,-19.66,60.46,39,0,5.35
236,kruisfontein,35.73,77,100,75,3.36
237,sakakah,-29.29,37.51,47,8,3.38
238,areosa,-19.06,71.6,88,92,8.05
239,amderma,0.52,74.77,93,0,2.26
240,fernandez,55.25,67.37,64,0,6.71
241,saskylakh,8.2,83.14,80,56,8.03
242,kieta,-42.72,44.08,100,12,7.4
243,kavieng,-2.86,84.31,74,32,3.71
244,gimli,43.52,69.71,94,75,4.7
245,gerash,5.43,74.32,90,92,8.41
246,salalah,-6.48,73.42,57,0,1.99
247,reftinskiy,12.72,78.8,88,75,4.7
248,vaitape,49.78,62.6,67,90,10.29
249,gisborne,37.46,65.64,87,75,9.17
250,aswan,42.33,70.54,92,68,5.23
251,asau,50.68,54.88,95,68,2.37
252,ilulissat,65.83,70.18,42,0,3.78
253,lashio,61.99,42.28,94,0,18.66
254,vila,-19.59,51.28,26,0,10.38
255,caborca,17.04,72.61,98,92,7.4
256,nadym,6.33,82.4,78,75,13.87
257,tselinnoye,47.25,74.59,81,88,4.12
258,laguna,-45.87,24.1,79,0,3.22
259,nokaneng,-20.34,69.8,64,75,14.99
260,hasaki,-3.66,79.36,100,64,8.63
261,mokhotlong,-23.27,67.21,75,0,10.04
262,alofi,50.72,68.11,99,92,0.47
263,kisangani,21.28,89.62,66,36,4.9
264,antropovo,25.02,82.78,86,0,3.27
265,mabaruma,62.45,57.2,54,20,6.93
266,hokitika,59.36,53.35,100,12,3
267,tonantins,-17.07,65.41,48,0,3.83
268,mana,42.65,67.75,100,44,3
269,naze,-20.01,69.8,64,75,14.99
270,kasongo-lunda,0.12,83.05,74,68,2.89
271,manjeshwar,5.4,82.06,100,32,8.93
272,chapais,10.24,89.6,62,75,17.22
273,half moon bay,9.49,75.04,81,0,32.46
274,shizunai,33.6,73.24,94,0,2.37
275,severo-kurilsk,-45.41,21.94,80,0,2.37
276,pyaozerskiy,61.13,50.56,99,100,3.22
277,paamiut,-13.97,61.72,33,0,10.38
278,potosi,69.3,38.59,92,0,3.56
279,tasgaon,54.95,62.6,55,20,10.29
280,monrovia,43.49,76.08,65,0,3.36
281,verkhniy rohachyk,-19.11,62.6,82,0,6.93
282,dunedin,44.95,80.33,37,40,4.7
283,bambous virieux,-25.17,65.68,72,0,13.06
284,namatanai,44.84,75.76,69,75,10.29
285,loreto,-27.31,63.07,61,0,5.12
286,ngukurr,31.8,80.6,69,20,4.7
287,solnechnyy,50.76,77.74,43,56,4.38
288,panaba,31.63,93.2,30,0,11.41
289,umm lajj,26.89,76.48,98,92,9.6
290,yellowknife,41.42,79.72,27,0,9.53
291,okhotsk,23.33,75.85,98,92,10.09
292,ondjiva,47.66,71.6,94,90,18.34
293,zarubino,-13.85,73.78,100,0,9.31
294,grand gaube,34.88,83.26,83,20,9.17
295,samana,36.3,81.79,100,90,9.17
296,sarangani,55.1,80.6,51,20,10.29
297,esperance,-19.53,63.52,67,0,5.35
298,bandarbeyla,69.41,39.22,88,0,6.29
299,rawalpindi,17.65,82.06,99,92,16.69
300,te anau,-18.06,59.47,43,0,2.77
301,ust-omchug,-2.79,93.22,48,48,3.6
302,kapiri mposhi,64.25,50.2,100,80,20.89
303,deputatskiy,11.28,87.8,70,40,8.05
304,letterkenny,13.5,72.97,100,92,2.71
305,orthez,28.66,73.4,78,75,12.75
306,chimoio,13.79,82.33,80,80,5.57
307,saint paul,32.69,96.28,21,12,15.64
308,dibaya,5.65,65.86,80,88,1.48
309,beloha,-41.87,48.22,70,24,4.12
310,bridgetown,57.31,59.38,68,24,6.24
311,severnyy,35.03,78.8,88,20,13.87
312,lavumisa,13.72,86.83,66,75,21.92
313,gizo,-9.65,66.58,98,0,3.33
314,dombarovskiy,16.86,86,70,90,6.93
315,marrakesh,-5.13,96.8,41,40,4.7
316,doctor pedro p. pena,-34.18,43.54,83,0,8.3
317,pinahat,35.53,86,23,1,4.7
318,saldanha,2.29,73.4,100,75,3.36
319,ratlam,67.65,48.58,89,64,2.77
320,torbay,17.54,89.6,25,40,11.41
321,alyangula,34.02,73.4,64,40,11.41
322,havelock,4.94,77,100,75,3.36
323,elizabeth city,-39.93,46.24,100,8,11.05
324,hunza,62.1,53.98,90,36,7.25
325,la ronge,48.79,75.04,80,56,4
326,miandrivazo,38.73,82.4,69,75,19.37
327,dudinka,71.98,44.35,88,88,4.12
328,yarada,5.35,75.76,77,0,23.62
329,lolua,-32.49,42.8,87,0,6.93
330,opuwo,50.38,31.39,82,0,1.81
331,baiao,-15.63,89.98,34,0,2.89
332,hofn,43.91,75.94,32,0,11.77
333,bubaque,-24.08,70.18,49,0,3.11
334,lumphat,55.72,73.4,43,0,6.93
335,los llanos de aridane,50.47,83.41,34,0,5.82
336,nioro,15.86,86,70,90,9.17
337,dehloran,4.05,84.2,54,75,9.17
338,gidole,53.05,57.2,100,90,4.47
339,ancud,-15.77,57.2,71,0,2.24
340,teguldet,18.69,96.82,9,0,9.04
341,fukue,18.39,69.8,68,40,4.7
342,vieux fort,71.03,64.02,56,0,4.7
343,waingapu,-30.26,62.6,63,40,18.34
344,acapulco,45.52,78.33,54,1,3.36
345,itupiranga,-20.3,67.84,95,0,5.5
346,mildura,20.87,78.39,78,40,11.41
347,aflu,24.63,79.9,41,0,3.56
348,attawapiskat,43.37,58.82,82,20,8.05
349,gallup,5.26,76.3,90,92,14.18
350,sibu,38.18,78.8,54,75,3.36
351,sinjah,49.79,82.78,39,0,6.93
352,batagay,-35.94,53.89,80,88,10.65
353,najran,68.22,56.12,93,90,8.05
354,rabat,64.86,66.2,55,1,4.23
355,cayenne,0.05,77.38,84,36,2.21
356,wanganui,33.08,68.92,94,8,1.25
357,berdigestyakh,-26.65,55.96,90,8,10.87
358,birobidzhan,44.76,74.17,73,90,5.82
359,praia da vitoria,3.81,79.09,60,64,15.19
360,khatanga,58.71,51.91,84,44,11.83
361,hobyo,39.46,80.53,30,40,4.7
362,port augusta,56.16,77,69,0,4.7
363,mugur-aksy,44.83,85.95,52,0,4.7
364,dinsor,13.92,79.99,87,80,4.05
365,urubicha,30.04,93.2,52,75,4.34
366,khonuu,35.6,60.01,99,80,2.59
367,zhanakorgan,22.57,85.66,87,0,3.38
368,toliary,38.94,75.04,59,0,4.38
369,ygatimi,63.92,53.53,85,48,4.12
370,holbaek,30.78,59.02,100,92,1.7
371,vidim,62.93,56.32,75,68,2.77
372,puerto escondido,37.04,82.4,32,20,6.93
373,suarez,-2.92,89.44,54,0,16.98
374,petropavlovsk-kamchatskiy,37.04,83.89,65,75,5.82
375,kununurra,-10.07,71.44,56,0,4.79
376,bilma,-7.23,92.32,33,0,8.93
377,umzimvubu,39.62,81.05,30,40,4.7
378,faya,-14.27,73.51,100,68,17.09
379,mehamn,53.51,60.28,94,88,8.41
380,palmares do sul,18.9,106.81,18,0,5.57
381,portland,56.97,84.2,51,0,8.05
382,tsihombe,63.75,44.6,75,40,13.87
383,morondava,34.7,76.21,100,76,4.38
384,kamenskoye,-3.71,82.4,65,20,19.46
385,lahaina,-31.97,38.41,89,0,4.27
386,concepcion del oro,18.97,85.21,99,8,2.48
387,coos bay,64.43,48.13,63,0,9.82
388,mumford,50.25,82.4,28,1,3.36
389,tonj,-13.28,84.76,65,0,8.75
390,morehead,43.74,73.69,79,0,7.63
391,kirn,15.74,86.74,62,90,9.82
392,dargaville,5.01,79.54,97,88,3.38
393,aklavik,40.81,73.4,78,0,4.47
394,samusu,53.12,80.6,39,0,6.93
395,college,48.95,82.78,47,0,11.41
396,mbandaka,51.11,52.99,84,20,2.82
397,hanzhong,41.11,80.31,50,40,9.17
398,luderitz,-32.25,56.55,100,75,9.17
399,traverse city,36.62,56.86,94,32,2.77
400,wajid,44.65,72.5,94,40,3.36
401,parabel,42.18,80.49,65,20,5.82
402,martinsburg,-12.93,89.62,26,0,4.61
403,karlskrona,-11.66,60.82,49,0,5.91
404,finale emilia,48.45,67.39,88,90,14.99
405,rosita,0.07,86.02,74,0,4.27
406,nome,51.04,64.4,82,92,18.34
407,linxia,34.45,84.58,24,0,5.01
408,sur,64.84,66.2,55,1,4.23
409,sereflikochisar,14.12,58.93,97,100,1.36
410,sangar,-30.55,52.99,36,48,2.48
411,lata,-28.55,57.31,100,12,12.44
412,seymchan,1.61,76.21,87,36,2.48
413,oshnaviyeh,44.37,73.81,74,20,9.17
414,itarema,-45.87,50,34,0,27.51
415,waverly,57.96,59.29,100,92,5.12
416,huarmey,36.13,77.94,64,20,10.29
417,urucui,18.42,86,70,40,16.11
418,vardo,-28.95,52.45,78,0,5.5
419,sambava,45.09,72.97,91,64,2.26
420,ekhabi,27.38,44.26,66,8,1.81
421,araouane,54.32,59,87,40,6.93
422,tukums,19.91,75.31,100,20,3
423,iqaluit,-10.41,81.16,58,24,10.09
424,shimoda,18.41,89.6,66,20,24.16
425,vila velha,14.69,95,47,40,6.93
426,broken hill,36.67,64.62,53,1,3.6
427,sabancuy,45.47,84.15,55,0,4.7
428,gubkinskiy,23.54,78.64,94,36,6.24
429,lumby,54.11,57.2,62,75,8.05
430,sao miguel do araguaia,4.06,60.46,92,0,6.8
431,goderich,-11.72,59.2,52,0,4.5
432,pochutla,60.82,62.6,72,40,4.7
433,tauramena,10.35,80.6,94,75,6.93
434,hohhot,-20.97,78.91,44,12,7.74
435,templin,53.27,73.69,58,68,5.79
436,saint-pierre,33.05,91.06,55,75,9.17
437,aginskoye,17.08,75.94,100,32,3.56
438,spring valley,63.44,55.4,82,75,20.8
439,kwinana,52.63,61.36,93,36,2.59
440,xining,38.94,70.54,78,48,5.39
441,sfantu gheorghe,46.68,62.08,98,100,7.4
442,palau,-13.26,93.76,43,0,4.34
443,arraias,20.75,91.4,52,40,11.41
444,lubumbashi,51.96,68.74,72,12,8.75
445,dinan,7.34,78.46,82,92,11.83
446,pedernales,-34.05,59.11,100,56,10.42
447,northam,41.69,79.56,57,75,12.75
448,abu kamal,21.44,79.7,74,1,10.29
449,xiangfan,67.55,55.51,87,100,11.61
450,ambodifototra,41.96,78.8,88,75,3.36
451,fairbanks,27.1,76.48,98,92,9.6
452,aksum,-10.73,63.25,44,0,6.02
453,kokstad,-31.43,55.4,54,0,5.82
454,oranjemund,49.72,66.2,77,90,9.17
455,ouesso,33.08,75.97,65,40,4.7
456,lajkovac,28.17,69.91,97,76,1.59
457,angra,-4.09,86.29,67,24,3.38
458,comodoro rivadavia,50.71,65.35,93,75,16.11
459,ust-ilimsk,-15.19,67.84,98,0,11.32
460,algeciras,-29.67,48.22,50,8,4.5
461,road town,-36.72,57.2,67,40,4.7
462,codrington,14.35,94.66,37,0,10.94
463,kirovskiy,46.67,69.24,88,90,9.17
464,khandbari,-12.18,71.6,94,0,5.82
465,sirfa,31.35,80.6,78,40,11.41
466,prince rupert,-23.7,39.2,55,0,4.7
467,lingao,-13.71,64.4,77,90,4.7
468,piacabucu,39.15,86,25,1,2.71
469,gurgan,46.45,70.09,93,92,1.99
470,ocho rios,50.1,77.95,41,40,6.93
471,gat,26.54,82.69,100,64,7.14
472,salinas,44.93,80.6,47,0,9.17
473,milan,-17.17,67.66,72,0,3.71
474,durgapur,59.09,58.84,47,0,8.59
475,ballina,50.56,78.37,70,8,5.28
476,mega,-13.55,65.32,33,0,6.91
477,kisanga,-8.45,69.28,100,0,3.83
478,hay river,59.06,52.36,79,68,7.92
479,vung tau,21.7,78.91,87,92,9.26
480,carmo do rio claro,24.03,77.29,86,36,5.84
481,gorodishche,54.23,74.23,58,0,2.82
482,lewisville,28.28,33.55,98,76,2.26
483,dicabisagan,-4.23,86.74,69,92,8.14
484,vestmannaeyjar,37.86,75.2,78,20,4.47
485,sivaki,26.63,73.42,97,44,1.77
486,zhangye,66.32,47.59,91,20,2.77
487,tabiauea,65.95,56.23,69,12,3.11
488,baruun-urt,27.34,74.86,92,12,0.09
489,magdalena,46.95,70.9,92,88,1.99
490,baguanos,34.64,69.19,68,1,8.05
491,esil,-8.71,75.2,94,90,4.7
492,sunyani,12.22,78.64,100,48,7.02
493,plettenberg bay,39.42,77,69,20,4.7
494,harwich,40.04,71.73,73,1,4.5
495,ahuimanu,36.36,82.4,26,0,8.05
496,komsomolskiy,19.84,77,78,20,9.17
497,khani,37.72,75.2,83,40,10.29
498,shikohabad,22.89,90.75,58,5,4.7
499,kanina,4.71,72.97,95,92,8.14
500,port macquarie,36.66,67.57,97,24,1.77
501,geraldton,17.54,69.19,98,0,2.55
502,artyk,28.25,75.22,97,92,0.76
503,camacha,39.29,72.88,30,12,4
504,along,10.93,76.12,100,88,6.29
505,coari,63.84,57.33,100,90,5.82
506,west bay,20.93,77,73,8,18.34
507,namibe,45.76,63.16,98,56,3
508,springbok,-6.07,55.78,94,36,1.7
509,talcahuano,47.41,84.22,35,48,18.21
510,filingue,36.73,83.44,100,90,9.17
511,la roche-sur-yon,-3.31,79.72,100,92,13.62
512,nhulunbuy,9.75,83.77,95,20,5.23
513,marsa matruh,-3.75,82.96,49,36,9.53
514,alice springs,50.71,64.45,93,75,16.11
515,pisco,42.87,75.22,27,0,0.58
516,ukiah,8.88,78.8,88,40,4.7
517,vostok,41.19,80.98,26,0,11.54
518,sioux lookout,62.65,55.6,94,80,3.22
519,marsh harbour,57.51,85.3,43,8,12.28
520,aurillac,-2.42,73.24,99,36,1.03
521,tucuman,11.42,87.01,69,36,3.83
522,severnyy-kospashskiy,41.88,80.62,91,0,16.64
523,husavik,-33.52,55.51,98,80,14.79
524,zambezi,50.08,86.47,27,80,7.29
525,bima,-20.31,57.2,58,0,8.05
526,kargasok,-14.79,80.6,74,20,5.82
527,damnagar,-2.02,83.68,99,100,13.56
528,vaitupu,13.64,86.11,62,44,6.35
529,khed brahma,54.37,60.8,100,75,6.71
530,burns lake,-18.93,58.57,67,0,2.1
531,gamba,5.1,82.6,99,56,15.41
532,bacabal,-6.64,91.24,44,32,3.38
533,taiyuan,16.13,76.57,100,12,1.88
534,rungata,-2.75,87.46,68,8,10.27
535,numaligarh,25.94,70.99,97,64,2.33
536,egvekinot,4.14,78.1,100,68,4.83
537,aykhal,-32.72,50,100,0,12.75
538,shaowu,29.26,81.79,85,20,6.4
539,langxiang,-8.93,63.88,91,0,1.77
540,lompoc,-43.53,41,80,0,5.82
541,praya,-23.35,60.82,96,88,1.99
542,alugan,24.63,96.8,8,0,5.82
543,chara,34.16,35.53,83,32,0.69
544,crawfordsville,63.73,62.6,77,75,4.7
545,constantine,38.97,62.8,50,0,2.71
